frame,x,y,diameter_px,area_px
0,96.7929234338747,38.864849187935036,46.85152052093316,1724.0
0,184.0,59.0,10.155412503859614,81.0
0,204.7337278106509,135.66272189349112,20.7449985808745,338.0
0,85.78153515834676,146.24261943102522,48.703647418254086,1863.0
0,171.10493827160494,170.96296296296296,14.361922094451577,162.0
0,187.0,223.0,12.412170838050638,121.0
0,126.4853704772109,323.32679469216185,124.2908500102551,12133.0
0,301.5359477124183,311.03921568627453,13.957279475043833,153.0
0,242.91596638655463,408.0,12.309163489997376,119.0
0,151.82574060243962,570.4642768235001,71.51645440876631,4017.0
0,181.68125,616.7,14.27299292922217,160.0
1,80.03993610223642,56.246538871139514,48.899323768459574,1878.0
1,168.0,58.0,10.155412503859614,81.0
1,85.5,136.0,12.964089628857149,132.0
1,177.96951219512195,152.03658536585365,14.450303987687134,164.0
1,126.29579802568358,245.20450773128331,120.72602481894037,11447.0
1,174.48621553884712,315.8107769423559,31.875463238965796,798.0
1,302.5,317.3723404255319,15.471555655790098,188.0
1,62.0,323.5,10.704744696916627,90.0
1,173.53900709219857,358.4609929078014,13.398760233979036,141.0
1,101.96078431372548,395.5359477124183,13.957279475043833,153.0
1,239.5,426.5,11.283791670955125,100.0
1,155.5974069148936,500.13414228723406,87.52033535771409,6016.0
1,163.6163055872292,598.897377423033,47.25740324505225,1754.0
2,129.4906862745098,162.14714052287582,124.83770274864237,12240.0
2,230.0,251.0,10.155412503859614,81.0
2,60.48148148148148,265.44249512670564,25.557227675339483,513.0
2,179.73235294117646,272.528431372549,36.03754064347158,1020.0
2,124.46099290780141,286.5390070921986,13.398760233979036,141.0
2,307.0342857142857,318.39428571428573,14.927053303604616,175.0
2,139.5771897810219,394.48430656934306,83.53054953218428,5480.0
2,226.5,374.0,10.704744696916627,90.0
2,237.45736434108528,440.0387596899225,12.815923738491737,129.0
2,167.95998260113092,488.4001739886907,54.103398353025284,2299.0
2,164.91311134235173,597.7882414151925,49.46884276977765,1922.0
3,44.46378018318068,39.793505412156534,39.1044843109704,1201.0
3,177.26205450733752,70.69430150562226,81.7354751085806,5247.0
3,84.57717041800643,51.77491961414791,28.14169498849121,622.0
3,124.03482587064677,128.59203980099502,15.99753570059363,201.0
3,94.89406779661017,132.51271186440678,17.334489682638438,236.0
3,133.42613636363637,195.0,14.96964127403822,176.0
3,59.698606271777,207.5261324041812,27.034043328329254,574.0
3,201.8538152610442,234.86987951807228,39.81435963562993,1245.0
3,127.2110021157915,294.58780534718215,81.36075462456154,5199.0
3,216.0,273.5,10.704744696916627,90.0
3,56.91596638655462,297.0,12.309163489997376,119.0
3,304.0,323.0,14.494292838262302,165.0
3,161.93982035928144,403.30988023952096,65.2121160476751,3340.0
3,232.0,456.0,10.155412503859614,81.0
3,159.41487507263219,549.8236490412551,66.20038151686461,3442.0
3,164.19402985074626,612.901119402985,26.123866405607867,536.0
4,73.70238095238095,3.607142857142857,25.332049473868512,504.0
4,175.24565756823822,3.347394540942928,22.65205369339104,403.0
4,108.47398843930635,110.16184971098266,14.841510746523857,173.0
4,166.0,123.5,10.704744696916627,90.0
4,224.58461538461538,129.0,12.865501965161373,130.0
