frame,x,y,diameter_px,area_px
0,128.12480376766092,155.2441130298273,40.27539174226115,1274.0
0,201.96871976781682,183.89455014511447,62.835625470140265,3101.0
0,200.57166778298728,248.6647689216343,61.6594946506959,2986.0
0,188.06152026027803,451.25140490979,65.61114921070644,3381.0
0,179.41398759165256,586.2047377326566,47.51266897171157,1773.0
1,189.6426275612696,54.875451988750505,79.61272796288065,4978.0
1,256.56976744186045,69.36627906976744,20.928315827817965,344.0
1,177.52306229196387,312.9025202092249,73.17954307835008,4206.0
1,194.35329067641683,469.9867458866545,52.78113416629597,2188.0
1,179.80551905387648,530.3147174770039,44.02125153930676,1522.0
1,175.92880794701986,601.3004966887418,39.21827851958926,1208.0
2,235.4004376367615,136.22319474835885,48.243982917830046,1828.0
2,110.0,176.0,10.155412503859614,81.0
2,172.60166468489894,208.73662306777646,46.27730452656619,1682.0
2,179.72276129747712,337.61269753257557,67.76854017801868,3607.0
2,184.07759699624532,485.8936170212766,45.106948383666904,1598.0
2,186.70393900889454,544.4008894536214,44.76694141230944,1574.0
2,175.73869346733667,606.6522613065326,35.593164329846914,995.0
3,211.08823529411765,3.7205882352941178,20.806283791440396,340.0
3,215.34960516870063,81.88657573582196,42.11439998166995,1393.0
3,182.66239316239316,198.25777000777,80.96071378327032,5148.0
3,191.54319831421213,343.5410910793725,73.74283758822872,4271.0
3,189.8262831359278,502.195149464185,47.51266897171157,1773.0
3,184.41694024950755,562.4478003939593,44.03571081101852,1523.0
3,159.24890829694323,613.0873362445415,17.075475271404667,229.0
3,183.91329479768785,615.5375722543353,14.841510746523857,173.0
4,204.60531135531136,83.69871794871794,64.5843072932767,3276.0
4,190.0079118395027,146.21955354619948,67.12670667340788,3539.0
4,187.14251781472683,353.74663499604117,69.45721442011285,3789.0
4,187.9441935483871,540.4338709677419,62.825493143142175,3100.0
5,216.35683760683762,11.572649572649572,24.410573670769317,468.0
5,251.82828282828282,3.3535353535353534,11.227230955528665,99.0
5,245.42857142857142,22.42142857142857,13.351162356249091,140.0
5,173.2016806722689,29.831932773109244,21.320096563347295,357.0
5,83.0,139.5,10.704744696916627,90.0
5,173.79732739420936,210.7044543429844,75.60982446653927,4490.0
5,203.3054945054945,372.60796703296705,68.07783738365954,3640.0
5,183.16287878787878,576.4020979020979,66.10414599350845,3432.0
6,190.57804090419808,26.752421959095802,34.39243429969688,929.0
